isoforms	gene	symb
ENST00000641515.2	79501	OR4F5
ENST00000426406.4	729759	OR4F29
ENST00000332831.4	81399	OR4F16
ENST00000616016.5	148398	SAMD11
ENST00000618323.5	148398	SAMD11
ENST00000437963.5	148398	SAMD11
ENST00000342066.8	148398	SAMD11
ENST00000616125.5	148398	SAMD11
ENST00000618779.5	148398	SAMD11
ENST00000622503.5	148398	SAMD11
ENST00000618181.5	148398	SAMD11
ENST00000617307.5	148398	SAMD11
ENST00000341065.8	148398	SAMD11
ENST00000455979.1	148398	SAMD11
ENST00000327044.7	26155	NOC2L
ENST00000338591.8	339451	KLHL17
ENST00000622660.1	339451	KLHL17
ENST00000466300.1	339451	KLHL17
ENST00000379410.8	84069	PLEKHN1
ENST00000379407.7	84069	PLEKHN1
ENST00000379409.6	84069	PLEKHN1
ENST00000491024.1	84069	PLEKHN1
ENST00000341290.6	84808	PERM1
ENST00000433179.3	84808	PERM1
ENST00000428771.6	57801	HES4
ENST00000304952.11	57801	HES4
ENST00000484667.2	57801	HES4
ENST00000624697.4	9636	ISG15
ENST00000624652.1	9636	ISG15
ENST00000649529.1	9636	ISG15
ENST00000379370.7	375790	AGRN
ENST00000620552.4	375790	AGRN
ENST00000651234.1	375790	AGRN
ENST00000652369.1	375790	AGRN
ENST00000453464.3	401934	RNF223
ENST00000379339.5	54991	C1orf159
ENST00000421241.7	54991	C1orf159
ENST00000379325.7	54991	C1orf159
ENST00000467751.5	54991	C1orf159
ENST00000477196.5	54991	C1orf159
ENST00000379320.5	54991	C1orf159
ENST00000379319.5	54991	C1orf159
ENST00000434641.5	54991	C1orf159
ENST00000462097.5	54991	C1orf159
ENST00000475119.5	54991	C1orf159
ENST00000442117.5	54991	C1orf159
ENST00000427787.5	54991	C1orf159
ENST00000480643.1	54991	C1orf159
ENST00000379290.6	254173	TTLL10
ENST00000379289.6	254173	TTLL10
ENST00000673999.1	254173	TTLL10
ENST00000379288.3	254173	TTLL10
ENST00000486379.1	254173	TTLL10
ENST00000328596.10	8784	TNFRSF18
ENST00000379268.7	8784	TNFRSF18
ENST00000486728.5	8784	TNFRSF18
ENST00000379265.5	8784	TNFRSF18
ENST00000379236.4	7293	TNFRSF4
ENST00000660930.1	51150	SDF4
ENST00000360001.12	51150	SDF4
ENST00000465727.5	51150	SDF4
ENST00000263741.12	51150	SDF4
ENST00000403997.2	51150	SDF4
ENST00000379198.5	126792	B3GALT6
ENST00000330388.2	388581	C1QTNF12
ENST00000450390.6	118424	UBE2J2
ENST00000349431.11	118424	UBE2J2
ENST00000347370.6	118424	UBE2J2
ENST00000400929.6	118424	UBE2J2
ENST00000464036.5	118424	UBE2J2
ENST00000360466.6	118424	UBE2J2
ENST00000400930.8	118424	UBE2J2
ENST00000473215.5	118424	UBE2J2
ENST00000435198.5	118424	UBE2J2
ENST00000509720.5	118424	UBE2J2
ENST00000466752.5	118424	UBE2J2
ENST00000503294.5	118424	UBE2J2
ENST00000477894.5	118424	UBE2J2
ENST00000422076.5	118424	UBE2J2
ENST00000502382.1	118424	UBE2J2
ENST00000488418.2	118424	UBE2J2
ENST00000379116.10	6339	SCNN1D
ENST00000379101.8	6339	SCNN1D
ENST00000338555.6	6339	SCNN1D
ENST00000400928.7	6339	SCNN1D
ENST00000470022.1	6339	SCNN1D
ENST00000325425.12	6339	SCNN1D
ENST00000379099.3	6339	SCNN1D
ENST00000354700.10	116983	ACAP3
ENST00000353662.4	116983	ACAP3
ENST00000354980.7	116983	ACAP3
ENST00000379031.10	126789	PUSL1
ENST00000467712.1	126789	PUSL1
ENST00000540437.5	54973	INTS11
ENST00000545578.5	54973	INTS11
ENST00000620829.4	54973	INTS11
ENST00000618806.4	54973	INTS11
ENST00000435064.6	54973	INTS11
ENST00000411962.5	54973	INTS11
ENST00000421495.6	54973	INTS11
ENST00000458452.7	54973	INTS11
ENST00000419704.5	54973	INTS11
ENST00000532772.5	54973	INTS11
ENST00000450926.6	54973	INTS11
ENST00000527098.5	54973	INTS11
ENST00000528879.5	54973	INTS11
ENST00000531377.5	54973	INTS11
ENST00000527383.5	54973	INTS11
ENST00000434694.6	54973	INTS11
ENST00000526797.5	54973	INTS11
ENST00000526332.5	54973	INTS11
ENST00000430786.5	54973	INTS11
ENST00000527719.5	54973	INTS11
ENST00000530031.5	54973	INTS11
ENST00000429572.5	54973	INTS11
ENST00000534345.5	54973	INTS11
ENST00000531019.5	54973	INTS11
ENST00000498476.6	54973	INTS11
ENST00000470679.3	54973	INTS11
ENST00000525285.1	54973	INTS11
