iso1	iso2	iso1.mean.ratio	iso2.mean.ratio	before.interval	after.interval	x.value	y.value	before.prob	after.prob	before.diff	after.diff	before.pval	after.pval	before.t.points	after.t.points	prob	diff	cor
ENST00000340647.8	ENST00000330045.12	0.331710944023217	0.270786448025667	(2.0738,3.6779]	(3.6779,4]	3.67792596010262	3.93767541096569	1	1	4.70734990511959	-2.23640233650727	0.00231293411015069	0.00160820671494043	1	1	1	6.94375224162687	-0.494721214682608
ENST00000407422.8	ENST00000647057.1	0.339993367177157	0.332829754666298	(2.1339,3.5175]	(3.5175,4]	3.51753382820039	43.9350698399782	0	0	-16.7165203045604	15.5838229651509	0.00954667860990351	0.0172055322116688	1	1	1	32.3003432697113	-0.395577218497417
ENST00000395915.8	ENST00000420474.5	0.135495135279293	0.143698980476291	(1.2684,2.693]	(2.693,4]	2.69301623651228	13.3784749193825	1	1	17.4442099428897	-7.18527724971554	0.0303823297106332	0.00483977735148552	1	2	1	24.6294871926053	-0.239471368480834
ENST00000588967.1	ENST00000593164.6	0.433367509233929	0.14673673108406	[1,2.1024]	(2.1024,4]	2.10243535117897	0.544469575099554	1	1	-0.344136749369821	3.33048133985598	0.000280489315383285	0.000873779932296299	2	2	1	3.6746180892258	0.783670735628271
ENST00000650832.1	ENST00000588967.1	0.292850039360571	0.433367509233929	[1,2.4382]	(2.4382,4]	2.43819605619564	1.62712682362031	1	1	1.56990052178097	-3.03392189706291	2.96305665341694e-06	0.00378144862860659	2	2	1	4.60382241884388	-0.530105139335827
ENST00000618787.5	ENST00000588967.1	0.0714836629278894	0.433367509233929	[1,2.0551]	(2.0551,4]	2.0550583953081	0.391703024636505	1	1	0.161292618420346	-3.93168278299404	0.0082023942035279	0.000649931686267032	2	2	1	4.09297540141438	-0.256304492495628
ENST00000270061.12	ENST00000601614.6	0.311152215361421	0.105115522596917	[1,3.6719]	(3.6719,4]	3.67193087301294	1.86668048755478	1	1	3.33577194906081	-1.24567569804281	0.000431104835607363	0.0109147291868823	3	1	1	4.58144764710361	-0.736351738018435
ENST00000252542.9	ENST00000590262.1	0.364053044262709	0.353324520501876	[1,3.111]	(3.111,4]	3.11102984551653	14.7894194825442	1	1	2.62596272211623	-5.9955950319538	0.0288707886179613	0.0125304544175919	3	1	1	8.62155775407003	-0.393982824812958
ENST00000392612.7	ENST00000392613.10	0.135367418203727	0.379906231586878	[1,1.7068]	(1.7068,2.7567]	1.70683016505015	1.64987701010926	1	1	-3.02217055781325	1.25349664945548	0.0177805786685077	0.0356151160735951	1	1	1	4.27566720726872	-0.713043494373768
ENST00000393193.6	ENST00000376392.10	0.154741466419749	0.638882600584751	[1,3.5041]	(3.5041,4]	3.50410969169249	2.03900131056107	1	1	-5.66114685875877	3.53238685923125	3.47817206368338e-05	0.0400358708749813	3	1	1	9.19353371799002	-0.773102361869045
