iso1	iso2	iso1.mean.ratio	iso2.mean.ratio	before.interval	after.interval	x.value	y.value	before.prob	after.prob	before.diff	after.diff	before.pval	after.pval	before.t.points	after.t.points	prob	diff	cor
ENST00000369459.6	ENST00000330045.12	0.172308112472285	0.270786448025667	(2.4221,3.4639]	(3.4639,4]	3.463939373698	2.7926446456655	1	1	3.89349200779273	-4.49875109233095	1.57846693617559e-05	0.0314815541071833	1	1	1	8.39224310012368	-0.953948423542388
ENST00000340647.8	ENST00000330045.12	0.331710944023217	0.270786448025667	(2.0738,3.6779]	(3.6779,4]	3.67792596010262	3.93767541096569	1	1	4.70734990511959	-2.23640233650727	0.00231293411015069	0.00160820671494043	1	1	1	6.94375224162687	-0.494721214682608
ENST00000426231.5	ENST00000652644.1	0.0890214824334987	0.121225548269224	(2.0482,3.2955]	(3.2955,4]	3.29554458116788	0.993194312378554	0	0	0.875921870794518	-2.08783360505689	0.0193791807510857	0.0183367023944455	1	1	1	2.96375547585141	0.0407639827275195
ENST00000617701.5	ENST00000652644.1	0.0792975893491922	0.121225548269224	(2.1455,3.2463]	(3.2463,4]	3.24634343049887	0.847623341987436	0	0	0.73451586860263	-2.24715840261768	0.0343012839219728	0.0100198858589019	1	1	1	2.98167427122031	0.0894825173386154
ENST00000535601.5	ENST00000448450.5	0.0579316438528872	0.0981583361254756	(1.4199,2.6164]	(2.6164,4]	2.61643029158086	2.58539559292689	1	1	4.43779918200849	-3.20277537632794	0.00253577799431952	0.000581570589830658	1	2	1	7.64057455833643	-0.88403776523188
ENST00000378438.9	ENST00000636287.1	0.00937930692516011	0.00941293496231952	[1,3.3554]	(3.3554,4]	3.35540188300794	1.13344231021444	1	1	-0.830097990245481	2.47707485469687	0.00407363108589781	0.0155576989690659	3	1	1	3.30717284494235	-0.223046053519789
ENST00000481024.5	ENST00000479048.6	0.0307825233130475	0.0457766574554715	[1,2.3128]	(2.3128,4]	2.31283012309248	1.53832280856739	1	1	0.810243165302697	-2.15712919561002	0.0158218051832365	0.00462895614834426	2	2	1	2.96737236091272	-0.267052533496992
ENST00000402458.1	ENST00000649722.1	0.136753229471159	0.230724103332024	[1,1.3342]	(1.3342,4]	1.3341846607648	44.149319277089	1	1	10.2636465918716	-27.149174318131	0.0015937685066141	0.000268722291791618	1	3	1	37.4128209100026	0.0380016178031224
ENST00000215862.8	ENST00000675570.1	0.131848892968313	0.189225252647594	[1,3.4938]	(3.4938,4]	3.49382631414937	3.08188335883938	1	1	-2.57791051603074	2.59917537325269	0.00277919986535125	0.0274276913522141	3	1	1	5.17708588928344	-0.483367562114256
ENST00000542393.5	ENST00000431535.5	0.0120758989501451	0.0390267835415509	[1,2.2998]	(2.2998,4]	2.29984412028334	0.345114651428388	1	1	0.382167794397765	-1.88026342361887	0.00903214336297319	0.0224707757248284	2	2	1	2.26243121801664	-0.327757495714723
ENST00000442555.5	ENST00000428374.5	0.0128626091027822	0.076813767863118	[1,3.9291]	(3.9291,4]	3.92905764752819	0.75269449907981	1	1	-4.59225293192215	0.381225106534459	4.12595585985089e-08	0.0402757834349362	3	1	1	4.97347803845661	-0.0711091144280972
ENST00000490103.6	ENST00000428374.5	0.0197999970280437	0.076813767863118	[1,3.9024]	(3.9024,4]	3.90243027044175	0.895952052054854	1	1	-4.14630646369203	0.496526121337921	1.65940536797226e-07	0.00411919255385259	3	1	1	4.64283258502995	0.604358359142537
ENST00000357586.7	ENST00000317368.11	0.132710933188047	0.179378441269078	[1,3.6844]	(3.6844,4]	3.68439479385253	5.43540128284948	1	1	-4.20082991946768	2.18614438246597	0.000368999740128581	0.0275366344050136	3	1	1	6.38697430193365	0.81872202379764
ENST00000456869.5	ENST00000400380.5	0.0293994733150706	0.0334034926407124	[1,3.3629]	(3.3629,4]	3.36294845823233	1.37724091813555	1	1	-1.08830087236879	2.72839114601495	0.000258570172755188	0.0195179279547599	3	1	1	3.81669201838374	-0.18407306676166
ENST00000407422.8	ENST00000647057.1	0.339993367177157	0.332829754666298	(2.1339,3.5175]	(3.5175,4]	3.51753382820039	43.9350698399782	0	0	-16.7165203045604	15.5838229651509	0.00954667860990351	0.0172055322116688	1	1	1	32.3003432697113	-0.395577218497417
ENST00000357179.10	ENST00000444502.5	0.133990169768864	0.1294989823333	[1,2.4719]	(2.4719,4]	2.47191479691303	5.57186444497997	1	1	1.88914521714397	-1.51524625419618	0.0144748081548244	0.00134016361004199	2	2	1	3.40439147134016	-0.0718173297174851
ENST00000420290.6	ENST00000401833.5	0.128081560288303	0.103452385388362	(1.1623,2.6193]	(2.6193,3.6255]	2.61932452427169	0.948435124234923	1	1	1.52560459276131	-0.937731724422923	0.0109791791052614	0.0317765723325062	1	1	1	2.46333631718424	-0.37674940818154
ENST00000650376.1	ENST00000649170.1	0.127736470172188	0.22797723099222	[1,3.801]	(3.801,4]	3.80097928726785	6.22516293616925	1	1	-5.30978630578217	1.7702545242179	0.000612464657650437	0.00216029005876025	3	1	1	7.08004083000007	-0.641154211441953
ENST00000370283.9	ENST00000550188.1	0.1609242116569	0.15149225275632	[1,3.3532]	(3.3532,4]	3.35320986978699	8.50149806666365	1	1	2.43649314795577	-5.23151734604294	0.0130824662406645	0.0484862232869772	3	1	1	7.66801049399871	-0.0483619701126842
ENST00000395915.8	ENST00000420474.5	0.135495135279293	0.143698980476291	(1.2684,2.693]	(2.693,4]	2.69301623651228	13.3784749193825	1	1	17.4442099428897	-7.18527724971554	0.0303823297106332	0.00483977735148552	1	2	1	24.6294871926053	-0.239471368480834
ENST00000360911.7	ENST00000611941.4	0.0851182265799031	0.065534774488345	[1,3.6098]	(3.6098,4]	3.6097888801276	8.22693940242124	1	1	3.64601089469284	-2.18957308536331	9.62151690863154e-06	0.011621561351597	3	1	1	5.83558398005615	-0.125685517835688
ENST00000352393.8	ENST00000437340.5	0.0151740360235588	0.0363027422833678	[1,3.758]	(3.758,4]	3.75802721878491	3.21881561993842	1	1	-4.89714644477965	1.46586322360595	7.52552187488753e-05	0.0294952246474432	3	1	1	6.36300966838559	-0.344268198434752
ENST00000594741.5	ENST00000597111.5	0.0676892596152855	0.0451042830719981	[1,1.7354]	(1.7354,3.5007]	1.7353567709195	0.544135968274152	1	1	1.55956819374277	-0.48099262312085	0.0384903199811413	0.000830237173687516	1	2	1	2.04056081686362	-0.513714715375266
ENST00000598809.5	ENST00000270617.8	0.0673596093499044	0.133416028201742	(2.3403,3.3676]	(3.3676,4]	3.36760306152727	0.788072909392064	1	1	1.11118394073565	-1.91159812239257	0.0038136230803623	0.00855444175640751	1	1	1	3.02278206312822	-0.246940242162913
ENST00000597636.5	ENST00000601373.5	0.0626836000910032	0.0726433110445722	[1,2.5132]	(2.5132,4]	2.51317688536812	3.71071043251392	1	1	-2.90630131565351	1.75490855866674	0.0198455892194074	0.0270761205624444	2	2	1	4.66120987432025	-0.402989222556496
ENST00000594932.5	ENST00000600019.5	0.0178015897626144	0.00811423644756801	(2.3358,3.167]	(3.167,4]	3.16696906296918	0.820507283163863	0	0	-0.714122509616865	3.56285249951218	0.0122180953125266	0.0121560227575312	1	1	1	4.27697500912904	-0.677781940204967
