Run	Biorep	Treatment	time	reorder
SRR12682098	rep1	infected\, 0hpi	0HPI	0
SRR12682099	rep1	infected\, 1hpi	1HPI	1
SRR12682100	rep1	infected\, 2hpi	2HPI	2
SRR12682101	rep1	infected\, 4hpi	4HPI	4
SRR12682144	rep1	infected\, 12hpi	12HPI	12
SRR12682145	rep1	infected\, 16hpi	16HPI	16
SRR12682146	rep1	infected\, 24hpi	24HPI	24
SRR12682147	rep1	infected\, 36hpi	36HPI	36
SRR12682103	rep2	infected\, 0hpi	0HPI	0
SRR12682104	rep2	infected\, 1hpi	1HPI	1
SRR12682105	rep2	infected\, 2hpi	2HPI	2
SRR12682106	rep2	infected\, 4hpi	4HPI	4
SRR12682148	rep2	infected\, 12hpi	12HPI	12
SRR12682149	rep2	infected\, 16hpi	16HPI	16
SRR12682150	rep2	infected\, 24hpi	24HPI	24
SRR12682151	rep2	infected\, 36hpi	36HPI	36
SRR12682108	rep3	infected\, 0hpi	0HPI	0
SRR12682109	rep3	infected\, 1hpi	1HPI	1
SRR12682110	rep3	infected\, 2hpi	2HPI	2
SRR12682111	rep3	infected\, 4hpi	4HPI	4
SRR12682152	rep3	infected\, 12hpi	12HPI	12
SRR12682153	rep3	infected\, 16hpi	16HPI	16
SRR12682154	rep3	infected\, 24hpi	24HPI	24
SRR12682155	rep3	infected\, 36hpi	36HPI	36
SRR12682113	rep4	infected\, 0hpi	0HPI	0
SRR12682114	rep4	infected\, 1hpi	1HPI	1
SRR12682115	rep4	infected\, 2hpi	2HPI	2
SRR12682116	rep4	infected\, 4hpi	4HPI	4
SRR12682156	rep4	infected\, 12hpi	12HPI	12
SRR12682157	rep4	infected\, 16hpi	16HPI	16
SRR12682158	rep4	infected\, 24hpi	24HPI	24
SRR12682159	rep4	infected\, 36hpi	36HPI	36
