gene	gene_symb	major_transcript	minor_transcript	iso_ratio	diff	maj_pval	min_pval	p_value	corr	final_sp	event_importance	exclusive_domains	adj_pval
284349	ZNF283	ENST00000588967.1	ENST00000650832.1	0.25	0.3989077263184891	1.689158470060539e-09	2.1822665774774454e-06	9.537550257297734e-09	0.7621992495863089	2	0.6334227809400228	['PF13912', 'PF00096']	9.537486039154092e-09
284349	ZNF283	ENST00000588967.1	ENST00000618787.5	0.25	0.06793720558592393	1.689158470060539e-09	1.6383896324158726e-05	9.537550257297734e-09	0.6214540020838476	2	0.365337632493069	['PF13912', 'PF00096']	9.537486039154092e-09
169611	OLFML2A	ENST00000373580.8	ENST00000288815.5	0.25	0.9267744211417384	6.658965031031529e-08	6.6589650310316e-08	3.1481940293118843e-07	0.9047992024572898	1	0.5191210045698648	[]	3.1480880423598206e-07
169611	OLFML2A	ENST00000288815.5	ENST00000373580.8	0.25	0.9267744211417384	6.6589650310316e-08	6.658965031031529e-08	3.148194029311915e-07	0.9047992024572898	1	0.5191210045698648	[]	3.1480880423598206e-07
140685	ZBTB46	ENST00000302995.2	ENST00000395104.5	0.25	0.09608261284826632	2.213585418447102e-07	0.5247824618915327	9.800525728345727e-07	0.5577606809088672	1	0.16538611247913038	[]	9.799898834673451e-07
80736	SLC44A4	ENST00000375562.8	ENST00000229729.11	0.25	0.6570976435296406	3.19022079591432e-07	0.05965473764818784	1.3833036544056308e-06	0.9725726268009186	3	0.46182457612563976	[]	1.3832058569105712e-06
54932	EXD3	ENST00000465160.2	ENST00000479452.5	0.25	0.3200184552486211	8.357864445240649e-07	8.912911046740141e-06	3.4227935239002626e-06	0.6558410428551588	2	0.7914954496699161	[]	3.4224478290830785e-06
8761	PABPC4	ENST00000474378.1	ENST00000421687.6	0.25	0.06760446715226248	9.994478555349256e-07	0.002159917756298489	4.048352793544784e-06	0.8893590943019977	3	0.6272721194227225	['PF00658']	4.047903031084385e-06
127002	ATXN7L2	ENST00000604728.6	ENST00000683729.1	0.25	0.24095155509733868	1.5929870819620184e-06	0.0008054593113210967	6.266888439292879e-06	0.8436533906737446	2	0.7159815101277806	['PF08313']	6.265981221976158e-06
127495	LRRC39	ENST00000370137.6	ENST00000342895.7	0.25	0.23460037823114377	1.6213999075258264e-06	0.0019094050985168792	6.37149969289295e-06	0.8419279427707621	3	0.3456503748342328	[]	6.370555881413913e-06
284349	ZNF283	ENST00000650832.1	ENST00000588967.1	0.25	0.3989077263184891	2.1822665774774454e-06	1.689158470060539e-09	8.41342374568038e-06	0.7621992495863089	2	0.6334227809400228	['PF13912', 'PF00096']	8.412120814411776e-06
5873	RAB27A	ENST00000396307.6	ENST00000567380.5	0.25	0.06643718822068864	2.994698831638736e-06	0.18379397070088993	1.1308702451547685e-05	0.864872640356655	3	0.13089895007067223	[]	1.1306646573026619e-05
5873	RAB27A	ENST00000396307.6	ENST00000336787.6	0.25	0.18597916250505805	2.994698831638736e-06	0.00016660871697463534	1.1308702451547685e-05	0.9641791370131578	3	0.15986344628797935	[]	1.1306646573026619e-05
79184	BRCC3	ENST00000330045.12	ENST00000340647.8	0.25	0.09781646142708444	4.679511819506856e-06	0.0024305211463593887	1.7148786006197854e-05	0.7062463306395962	3	0.6649067308753097	[]	1.7145379757883288e-05
79184	BRCC3	ENST00000330045.12	ENST00000369459.6	0.25	0.21209159383311266	4.679511819506856e-06	0.005686275999180089	1.7148786006197854e-05	0.978416990823658	3	0.5287677650976053	[]	1.7145379757883288e-05
71	ACTG1	ENST00000570382.2	ENST00000615544.5	0.5	0.16215736776834497	2.5512908812831257e-06	0.0029014494567276036	1.8588779704994368e-05	0.9279610366569798	3	0.28147486394338617	[]	1.8584837108401986e-05
51025	PAM16	ENST00000571178.1	ENST00000571941.5	0.25	0.10725820114002793	8.65262597565822e-06	0.0037137461282639433	3.0379244474194274e-05	0.904074120674526	3	0.36245661648646965	['PF03656']	3.0371676152202697e-05
51025	PAM16	ENST00000571178.1	ENST00000575636.5	0.25	0.05593748860281385	8.65262597565822e-06	0.0020532237686193685	3.0379244474194274e-05	0.8546433465048615	3	0.3670335686252022	[]	3.0371676152202697e-05
51025	PAM16	ENST00000571178.1	ENST00000318059.8	0.25	0.32601522962796237	8.65262597565822e-06	0.0007729180410482345	3.0379244474194274e-05	0.9384990366795565	3	0.6012016556579763	['PF03656']	3.0371676152202697e-05
54932	EXD3	ENST00000479452.5	ENST00000465160.2	0.25	0.3200184552486211	8.912911046740141e-06	8.357864445240649e-07	3.122706126503619e-05	0.6558410428551588	2	0.7914954496699163	[]	3.121844069707899e-05
148738	HJV	ENST00000336751.11	ENST00000634927.1	0.25	0.07297321989807565	1.1512387987764628e-05	0.06305169988273811	3.959795575024796e-05	0.9045022747664216	1	0.24567803666213248	['PF06534', 'PF06535']	3.95852912725541e-05
148738	HJV	ENST00000336751.11	ENST00000636675.1	0.25	0.07297321989807565	1.1512387987764628e-05	0.050725580687664674	3.959795575024796e-05	0.7041445071251288	1	0.26527548399715273	['PF06535']	3.95852912725541e-05
84634	KISS1R	ENST00000606939.2	ENST00000234371.10	0.25	0.7167236026660536	1.1556122490927436e-05	0.014164708407207436	3.973743037482888e-05	0.855251652005391	1	0.5003120981095238	[]	3.972445372975435e-05
3241	HPCAL1	ENST00000613496.4	ENST00000622018.4	0.25	0.5620102513041387	1.282587362904066e-05	0.00043166121783196147	4.3769385276615516e-05	0.9758835296403218	1	0.5239699504523225	[]	4.375450254215593e-05
85395	FAM207A	ENST00000458015.1	ENST00000397826.7	0.25	0.2302009445469629	1.4150774694027424e-05	0.0032667310840810175	4.7942950420588716e-05	0.9425911795395138	3	0.44361826032142004	[]	4.7926325755924095e-05
85395	FAM207A	ENST00000458015.1	ENST00000291634.11	0.25	0.16131745544915455	1.4150774694027424e-05	0.010199253953847407	4.7942950420588716e-05	0.8898892956647156	3	0.7221196702114002	[]	4.7926325755924095e-05
